Comission;Voters;Com_Ballots;Home_Ballots;Home_B_Box;Com_B_Box;Invalid;Rodina;Kommunisty_Rossii;Pensionery;United_Russia;Zelenye;Civic_Platform;LDPR;PARNAS;Partiia_Rosta;Civic_Power;YABLOKO;KPRF;Patriots_of_Russia;A_Just_Russia
”»  π60;365†;355†;2†;2†;355†;0†;0.0056;0.0084;0.0000;0.9636;0.0140;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0084
”»  π61;174†;169†;1†;1†;169†;0†;0.0000;0.0059;0.0000;0.9588;0.0118;0.0059;0.0000;0.0000;0.0000;0.0059;0.0000;0.0000;0.0000;0.0118
”»  π62;62†;60†;0†;0†;60†;0†;0.0000;0.0167;0.0000;0.9167;0.0167;0.0000;0.0000;0.0000;0.0167;0.0000;0.0000;0.0000;0.0167;0.0167
”»  π63;343†;329†;7†;7†;329†;0†;0.0089;0.0149;0.0000;0.9494;0.0060;0.0000;0.0000;0.0000;0.0060;0.0060;0.0000;0.0000;0.0000;0.0089
”»  π64;145†;138†;2†;2†;138†;0†;0.0071;0.0071;0.0000;0.9571;0.0071;0.0000;0.0000;0.0000;0.0071;0.0071;0.0000;0.0000;0.0000;0.0071
”»  π65;845†;796†;2†;2†;796†;0†;0.0013;0.0088;0.0025;0.9724;0.0063;0.0000;0.0000;0.0000;0.0013;0.0000;0.0013;0.0000;0.0000;0.0063
”»  π66;806†;755†;3†;3†;755†;0†;0.0026;0.0079;0.0013;0.9749;0.0053;0.0013;0.0000;0.0000;0.0026;0.0000;0.0000;0.0000;0.0000;0.0040
”»  π67;801†;759†;2†;2†;759†;0†;0.0013;0.0118;0.0026;0.9645;0.0092;0.0000;0.0000;0.0000;0.0013;0.0000;0.0013;0.0000;0.0000;0.0079
”»  π68;1468†;1395†;4†;4†;1395†;1†;0.0014;0.0093;0.0007;0.9721;0.0064;0.0000;0.0007;0.0000;0.0007;0.0000;0.0000;0.0000;0.0000;0.0079
”»  π69;1892†;1774†;3†;3†;1774†;1†;0.0006;0.0118;0.0000;0.9724;0.0056;0.0000;0.0000;0.0000;0.0011;0.0006;0.0000;0.0000;0.0006;0.0068
”»  π70;2676†;2545†;13†;13†;2545†;1†;0.0012;0.0090;0.0008;0.9730;0.0059;0.0004;0.0000;0.0000;0.0012;0.0008;0.0000;0.0000;0.0000;0.0074
”»  π71;2256†;2133†;10†;10†;2133†;1†;0.0009;0.0084;0.0014;0.9771;0.0047;0.0000;0.0000;0.0005;0.0019;0.0000;0.0005;0.0000;0.0000;0.0042
”»  π72;980†;937†;1†;1†;937†;0†;0.0011;0.0075;0.0021;0.9680;0.0117;0.0011;0.0000;0.0000;0.0021;0.0011;0.0000;0.0011;0.0000;0.0043
”»  π73;2720†;2563†;8†;8†;2563†;1†;0.0019;0.0124;0.0012;0.9681;0.0089;0.0000;0.0004;0.0000;0.0012;0.0012;0.0000;0.0000;0.0000;0.0043
”»  π74;968†;903†;6†;6†;903†;0†;0.0011;0.0099;0.0000;0.9681;0.0110;0.0000;0.0000;0.0000;0.0011;0.0011;0.0011;0.0000;0.0000;0.0066
”»  π75;1645†;1565†;5†;5†;1565†;1†;0.0013;0.0083;0.0013;0.9707;0.0089;0.0000;0.0000;0.0000;0.0019;0.0000;0.0000;0.0000;0.0006;0.0064
”»  π76;1623†;1525†;8†;8†;1525†;1†;0.0020;0.0078;0.0013;0.9693;0.0104;0.0000;0.0000;0.0000;0.0013;0.0013;0.0000;0.0000;0.0000;0.0059
”»  π77;1928†;1833†;14†;14†;1833†;1†;0.0022;0.0065;0.0016;0.9773;0.0043;0.0005;0.0000;0.0000;0.0022;0.0000;0.0005;0.0000;0.0000;0.0043
”»  π78;2030†;1909†;11†;11†;1909†;1†;0.0026;0.0068;0.0010;0.9781;0.0057;0.0000;0.0000;0.0000;0.0016;0.0000;0.0000;0.0000;0.0000;0.0036
”»  π79;2657†;2520†;12†;12†;2520†;1†;0.0012;0.0118;0.0004;0.9763;0.0051;0.0000;0.0000;0.0000;0.0008;0.0008;0.0000;0.0000;0.0000;0.0032
”»  π80;2653†;2501†;13†;13†;2501†;1†;0.0016;0.0060;0.0016;0.9789;0.0068;0.0000;0.0004;0.0000;0.0016;0.0000;0.0000;0.0004;0.0000;0.0024
”»  π81;1887†;1767†;12†;12†;1767†;1†;0.0017;0.0146;0.0017;0.9657;0.0118;0.0000;0.0000;0.0000;0.0017;0.0000;0.0000;0.0000;0.0000;0.0022
”»  π82;2220†;2129†;9†;9†;2129†;1†;0.0019;0.0159;0.0009;0.9691;0.0061;0.0005;0.0000;0.0000;0.0009;0.0009;0.0000;0.0000;0.0005;0.0028
”»  π83;2284†;2157†;11†;11†;2157†;1†;0.0009;0.0129;0.0014;0.9746;0.0037;0.0000;0.0000;0.0005;0.0005;0.0005;0.0005;0.0000;0.0000;0.0042
”»  π84;2440†;2320†;14†;14†;2320†;1†;0.0017;0.0107;0.0009;0.9751;0.0056;0.0000;0.0000;0.0000;0.0009;0.0004;0.0000;0.0000;0.0000;0.0043
”»  π85;2849†;2688†;16†;16†;2688†;1†;0.0018;0.0107;0.0011;0.9752;0.0030;0.0004;0.0000;0.0000;0.0022;0.0004;0.0004;0.0000;0.0000;0.0044
”»  π86;502†;469†;2†;2†;469†;0†;0.0021;0.0127;0.0042;0.9575;0.0064;0.0000;0.0000;0.0000;0.0042;0.0021;0.0000;0.0021;0.0000;0.0085
”»  π87;1135†;1077†;3†;3†;1077†;1†;0.0009;0.0130;0.0009;0.9648;0.0056;0.0000;0.0009;0.0000;0.0028;0.0009;0.0009;0.0000;0.0000;0.0083
”»  π88;913†;871†;2†;2†;871†;0†;0.0023;0.0115;0.0023;0.9599;0.0046;0.0000;0.0000;0.0000;0.0057;0.0011;0.0000;0.0000;0.0011;0.0115
”»  π89;2551†;2434†;8†;8†;2434†;1†;0.0012;0.0115;0.0016;0.9762;0.0029;0.0000;0.0000;0.0004;0.0016;0.0000;0.0004;0.0000;0.0000;0.0037
”»  π90;2353†;2219†;9†;9†;2219†;0†;0.0004;0.0144;0.0013;0.9749;0.0027;0.0000;0.0000;0.0000;0.0004;0.0000;0.0000;0.0004;0.0000;0.0054
”»  π91;2061†;1948†;11†;11†;1948†;0†;0.0015;0.0097;0.0005;0.9781;0.0026;0.0005;0.0000;0.0000;0.0015;0.0010;0.0000;0.0000;0.0000;0.0046
”»  π92;2499†;2348†;13†;13†;2348†;1†;0.0021;0.0076;0.0008;0.9784;0.0030;0.0000;0.0000;0.0000;0.0021;0.0004;0.0004;0.0000;0.0000;0.0047
”»  π93;2223†;2110†;14†;14†;2110†;1†;0.0019;0.0202;0.0014;0.9661;0.0028;0.0000;0.0000;0.0000;0.0009;0.0005;0.0000;0.0000;0.0000;0.0056
”»  π94;2274†;2133†;12†;12†;2133†;1†;0.0009;0.0196;0.0009;0.9683;0.0023;0.0000;0.0000;0.0000;0.0019;0.0000;0.0000;0.0000;0.0005;0.0051
”»  π95;1559†;1472†;7†;7†;1472†;0†;0.0020;0.0196;0.0020;0.9648;0.0020;0.0000;0.0007;0.0000;0.0014;0.0007;0.0007;0.0000;0.0000;0.0061
”»  π96;814†;762†;5†;5†;762†;0†;0.0013;0.0222;0.0013;0.9596;0.0052;0.0013;0.0000;0.0000;0.0013;0.0013;0.0000;0.0000;0.0000;0.0065
”»  π97;1059†;987†;6†;6†;987†;0†;0.0020;0.0101;0.0010;0.9728;0.0030;0.0000;0.0000;0.0000;0.0020;0.0000;0.0010;0.0000;0.0000;0.0081
”»  π98;824†;771†;5†;5†;771†;0†;0.0013;0.0090;0.0013;0.9742;0.0026;0.0013;0.0000;0.0000;0.0013;0.0013;0.0000;0.0000;0.0000;0.0077
”»  π99;1429†;1342†;10†;10†;1342†;0†;0.0022;0.0059;0.0015;0.9771;0.0052;0.0000;0.0000;0.0007;0.0015;0.0007;0.0000;0.0000;0.0000;0.0052
”»  π100;818†;775†;4†;4†;775†;0†;0.0013;0.0026;0.0000;0.9769;0.0077;0.0000;0.0000;0.0000;0.0051;0.0013;0.0013;0.0000;0.0000;0.0039
”»  π101;1577†;1484†;6†;6†;1484†;1†;0.0020;0.0074;0.0020;0.9772;0.0034;0.0000;0.0007;0.0000;0.0020;0.0000;0.0000;0.0000;0.0000;0.0047
”»  π102;150†;139†;1†;1†;139†;0†;0.0000;0.0071;0.0000;0.9429;0.0071;0.0000;0.0000;0.0071;0.0143;0.0071;0.0071;0.0000;0.0000;0.0071
”»  π435;1411†;1326†;8†;8†;1326†;1†;0.0015;0.0037;0.0015;0.9835;0.0022;0.0000;0.0000;0.0000;0.0030;0.0007;0.0000;0.0000;0.0007;0.0022
