"","year","region","wine","beer","vodka","champagne","brandy","district"
"287",2001,"Republic of Crimea",NA,NA,NA,NA,NA,"Southern"
"288",2001,"Kurgan Oblast",2.9,34.2,12.2,0.6,0.2,"Ural"
"289",2001,"Kursk Oblast",1.7,44.5,7.4,0.5,0.1,"Central"
"290",2001,"Leningrad Oblast",5,59.7,17.5,1.8,0.4,"Northwestern"
"291",2001,"Lipetsk Oblast",2.5,42.9,9.3,0.7,0.2,"Central"
"292",2001,"Magadan Oblast",4.7,28.3,23.6,1.4,0.2,"Far Eastern"
"293",2001,"Mari El Republic",1.6,22.6,10.4,0.3,0.1,"Volga"
"294",2001,"Republic of Mordovia",1.4,23.5,11.8,0.3,0.1,"Volga"
"295",2001,"Moscow",5,78.9,19.7,4.2,0.7,"Central"
"296",2001,"Moscow Oblast",3.2,23.7,16.8,0.3,0.3,"Central"
"297",2001,"Murmansk Oblast",4.6,34.7,19.7,1.8,0.6,"Northwestern"
"298",2001,"Nenets Autonomous Okrug",7,47.6,23.5,1.2,0.9,"Northwestern"
"299",2001,"Nizhny Novgorod Oblast",4.8,34.7,9.8,0.9,0.2,"Volga"
"300",2001,"Novgorod Oblast",4.6,34.7,12.6,0.4,0.2,"Northwestern"
"301",2001,"Novosibirsk Oblast",2.7,48.4,20.6,1.3,0.3,"Siberian"
"302",2001,"Omsk Oblast",4.6,55.5,12.3,0.6,0.3,"Siberian"
"303",2001,"Orenburg Oblast",2.3,34.6,10.8,0.7,0.2,"Volga"
"304",2001,"Oryol Oblast",3.4,29.9,12,1.6,0.3,"Central"
"305",2001,"Penza Oblast",5.1,30.1,6.8,0.4,0.1,"Volga"
"306",2001,"Perm Krai",4.1,56.9,15.9,0.8,0.3,"Volga"
"307",2001,"Primorsky Krai",1.5,26.5,15.2,0.6,0.1,"Far Eastern"
"308",2001,"Pskov Oblast",9.6,33.5,13.3,0.5,0.1,"Northwestern"
"309",2001,"Altai Republic",5.7,18.7,10.6,0.9,0.1,"Siberian"
"310",2001,"Komi Republic",5.6,37.6,28.5,0.8,0.5,"Northwestern"
"311",2001,"Tuva Republic",1.6,25.7,9.8,0.1,0.1,"Siberian"
"312",2001,"Rostov Oblast",4.1,39.9,7.1,1.8,0.2,"Southern"
"313",2001,"Ryazan Oblast",2.4,40.3,13.5,1.4,0.1,"Central"
"314",2001,"Samara Oblast",1.8,33.4,8.1,1,0.2,"Volga"
"315",2001,"Saint Petersburg",6.2,101,15.5,2.4,0.8,"Northwestern"
"316",2001,"Saratov Oblast",3,21.7,7.6,1.2,0.2,"Volga"
"317",2001,"Sakhalin Oblast",4.3,29.7,20.3,0.9,0.2,"Far Eastern"
"318",2001,"Sverdlovsk Oblast",4.4,44.6,13.7,0.9,0.4,"Ural"
"319",2001,"Sevastopol",NA,NA,NA,NA,NA,"Southern"
