Gender;Age;Satisfaction;Participation;Vote;Duma;Violation;Observers;Obs_elections;Trust_Putin;Protest;Education;FO;Region;wes_total_reg
2;43;4;2;4;1;2; ;1; ;2;6;4;23;3.855234072
2;34;2;1;5;9;3;3;1;1; ;4;4;23;1.346057602
2;70;5;1;2;2; ;3;2;2;2;4;1;47;0.804399984
1;69;3;1; ; ;3;3; ;2;1;6;4;23;1.306343604
1;37;2;1;3;6; ;1;1;2;2;6;4;23;2.02013801
1;54;3;1;1;3;2;1;2;2;1;2;1;35;1.656281815
2;23;1;1;5;9;2;1;2;1;2;4;1;47;1.654236294
2;53;3;1;5;9; ;1;2;1;2;4;1;29;0.893866376
2;32;3;1; ;6;1;1;1;1;2;4;1;35;1.255773251
1;48;5;5; ;9;3; ;2; ;2;4;1;47;0.975348537
2;33;4;1;5;7;2;1;1;1;2;6;1;78;1.267175732
2;45;3;1;5;1;1;2;2;1;1;6;1;11;0.788140246
2;23;2;1;5;1; ;1;2;1;2;4;4;23;1.048500479
2;25;2;3;5;9;1;1;2;1;2;5;4;61;0.86667359
1;31;1;1;5;9;1;1;1;1;1;5;4;23;2.534159465
2;70;2;1;5;1;2;2;1;1; ;4;4;23;0.28775284
2;51;3;1;5;1;1;1;1;1;2;4;4;34;1.244324648
1;35;5;1;2;2;1;1; ; ;2;2;4;61;1.429086536
2;63;3;1;5;1;1;1;1;1;2;6;1;47;0.876371635
2;47;1;1;5;6;1;1;1;1;2;6;4;61;1.032352716
2;55;3;2;5;1;1;1;2;1;2;6;4;1;0.850496735
2;66;1;1; ;6;1;2;2;1; ;4;1;78;2.514785426
2;75; ;5;5;9; ; ;2;1;2;4;4;61;0.549346331
1;25;1;3;5;9;3;1;1; ;2;6;4;61;0.288944669
2;62;5;2; ;1; ;3;2; ;1;2;4;23;0.850496735
1;38;5;1;2;2;3; ; ; ;1;4;1;10;0.264283126
2;55;4;5; ;9; ;2;2;2;2;2;4;23;0.35129213
2;46;3;1;2;2;2;3;1;2;1;4;4;23;4.442245021
2;57;5;2;5;1;1; ;2;1;2;6;1;39;0.351111118
1;33;2;1; ;6; ; ;1;2; ;6;1;35;0.904853043
1;25;5;2;1;8;1;1;2; ;2;6;4;23;1.273496875
2;62;3;1;5;9;1;3;2;1;2;4;1;11;0.850496735
2;57;2;1;5;1;3;1;2;1;1;6;4;30;0.539512206
1;29;3;1; ;2;3;3;2;2;2;2;4;23;1.538596818
1;66;1;1;5;1;1;1;1;1;2;4;4;30;0.731264145
1;25;1;1;5;9;1;1;1;1;1;3;4;61;2.364185354
2;69;3;1;5;1;1;1;2;1;2;2;4;61;0.495312266
1;34;5;1; ; ;2;3;1; ;1;6;4;30;0.904853043
2;57;3;1; ;1;1;1;1; ;1;4;4;23;0.539512206
1;65;4;1;5;1;1;1; ;1;1;1;4;34;1.306343604
1;45;2;1; ;6;1;1;1;1;1;4;4;30;0.553368476
1;43;1;1; ;1; ;1;1;1;2;6;4;61;2.165376691
2;53;3;1; ;6;3;2;1; ;1;4;1;60;0.884125408
2;66;2;4;2;9; ;3;2;1;2;1;4;23;1.155252764
1;75;1;1;5;1; ;1;1;1;2;4;4;34;2.060835319
2;69;4;1;5;2; ;2;2;1;2;2;4;23;0.389858686
2;68;4;1; ;1;1;1;1;1;2;1;1;10;1.155252764
1;72;5;1;2;9;2; ;2;2;2;2;4;61;1.306343604
2;67;4;1; ;6; ;1;1; ;2;6;4;30;0.473945854
1;24;3;1;5;1;1;1;2;1; ;6;1;47;0.437870932
1;29;3;5;1;3; ;2;1;2;2;4;4;34;0.52899101
2;38;4;1; ;9; ;1;2;1;2;6;4;34;1.244497385
2;80;5;1;5;9; ;1;2;1;2;4;4;23;1.098692662
2;33;2;1; ;6;1;1;2;1;2;6;4;8;0.86667359
1;62;3;1;5;1;1;3;2;1;2;4;4;23;0.810658538
1;45;2;1;5;2;1;1;1;1;1;4;4;23;0.94655134
2;28;1;2;1;9; ;1;1;2; ;2;4;34;1.21976283
1;62; ;1;5;2;1;1;1;1;2;6;4;30;0.910145519
2;40;2;1;5;6;1;1;1;1;2;6;4;61;0.597289786
2;25; ;1;5;1;1;3;2;1;2;2;4;61;1.21976283
2;29;1;5; ;9;3;2;1;2;1;5;2;77;1.128815601
2;58;2;1; ;6;1;1;1;1;2;6;4;23;1.196995405
2;49;2;2;5;7;2;2;2;1;2;6;4;61;0.788140246
1;19;4;5;5;9; ;1;1;1;1;2;4;34;2.438522641
2;62;3;1;5;1;2; ;1;1;2;6;4;23;0.539512206
1;93;2;1;5;1; ; ;2;1;1;6;4;23;1.03041766
2;38;4;2;3;6;2;1;1;2;1;6;4;61;0.516945067
2;30;2;1;5;1;3;1;2;1;2;6;4;61;0.509769339
2;70;4;1; ;2;1;1;1;1;1;6;4;1;0.495312266
1;47;1;3;5;1; ;1;2;1;2;2;4;61;1.332183367
1;80;3;1;5;9;1; ;2;1;2;2;2;50;2.085967457
2;28;1;1;5;1;1;1;1;1;2;4;2;32;0.837440552
2;72;1;1;4;8; ; ;2;2;2;6;2;46;0.278046891
2;65;3;1;5;1;1;1; ;1;2;4;4;61;0.549346331
2;40;2;1;2;2;2;1;1; ;1;4;4;34;0.636750372
